time,open,high,low,close,tick_volume,spread,real_volume
2025-09-01 00:02:00,1.16938,1.16939,1.16936,1.16939,3,52,0
2025-09-01 00:03:00,1.16939,1.16939,1.16936,1.16939,3,52,0
2025-09-01 00:04:00,1.16939,1.16939,1.16936,1.16939,5,52,0
2025-09-01 00:05:00,1.16939,1.16946,1.16939,1.1694499999999999,6,20,0
2025-09-01 00:06:00,1.1694499999999999,1.1694499999999999,1.16937,1.16942,7,21,0
2025-09-01 00:07:00,1.16943,1.16943,1.16943,1.16943,1,47,0
2025-09-01 00:08:00,1.16943,1.16944,1.16943,1.16944,2,46,0
2025-09-01 00:09:00,1.16944,1.16944,1.16944,1.16944,1,45,0
2025-09-01 00:10:00,1.16957,1.16957,1.16943,1.16944,4,40,0
2025-09-01 00:11:00,1.16944,1.16944,1.16944,1.16944,1,38,0
2025-09-01 00:12:00,1.16944,1.16944,1.16944,1.16944,1,38,0
2025-09-01 00:14:00,1.16944,1.16944,1.16944,1.16944,1,38,0
2025-09-01 00:15:00,1.16944,1.16944,1.16943,1.16943,4,39,0
2025-09-01 00:16:00,1.16943,1.16943,1.16943,1.16943,1,40,0
2025-09-01 00:17:00,1.16943,1.16943,1.16943,1.16943,1,39,0
2025-09-01 00:19:00,1.16943,1.16943,1.16942,1.16942,2,39,0
2025-09-01 00:24:00,1.16942,1.16942,1.16941,1.16941,2,40,0
2025-09-01 00:25:00,1.16941,1.16941,1.16939,1.16939,3,24,0
2025-09-01 00:27:00,1.16938,1.16938,1.16938,1.16938,1,27,0
2025-09-01 00:28:00,1.1694,1.1694,1.16938,1.16938,2,25,0
2025-09-01 00:29:00,1.1694,1.1694,1.16938,1.16938,2,25,0
2025-09-01 00:30:00,1.16938,1.16938,1.16938,1.16938,1,27,0
2025-09-01 00:31:00,1.16939,1.1694,1.16939,1.1694,4,25,0
2025-09-01 00:32:00,1.16939,1.1694,1.16937,1.16937,4,25,0
2025-09-01 00:34:00,1.16937,1.1694,1.16937,1.16937,3,25,0
2025-09-01 00:35:00,1.1693500000000001,1.1693500000000001,1.16933,1.16933,5,26,0
2025-09-01 00:36:00,1.16934,1.16936,1.16934,1.16936,3,25,0
2025-09-01 00:37:00,1.1693500000000001,1.16938,1.1693500000000001,1.16936,4,23,0
2025-09-01 00:38:00,1.16938,1.16938,1.16936,1.16937,5,23,0
2025-09-01 00:39:00,1.16937,1.16937,1.16937,1.16937,1,24,0
2025-09-01 00:40:00,1.16937,1.1694499999999999,1.16927,1.16944,12,20,0
2025-09-01 00:41:00,1.16944,1.1694499999999999,1.169,1.16903,15,20,0
2025-09-01 00:42:00,1.16892,1.16911,1.16886,1.16907,73,21,0
2025-09-01 00:43:00,1.16907,1.16907,1.16904,1.16904,5,20,0
2025-09-01 00:44:00,1.16904,1.16905,1.16903,1.16905,15,20,0
2025-09-01 00:45:00,1.16905,1.1690800000000001,1.16895,1.16897,28,20,0
2025-09-01 00:46:00,1.16896,1.16896,1.16885,1.16886,9,22,0
2025-09-01 00:47:00,1.16886,1.16887,1.16872,1.16881,17,20,0
2025-09-01 00:48:00,1.16881,1.16881,1.16876,1.16877,7,20,0
2025-09-01 00:49:00,1.16869,1.16869,1.16854,1.16854,16,26,0
2025-09-01 00:50:00,1.16855,1.16879,1.16854,1.16879,9,20,0
2025-09-01 00:51:00,1.16879,1.1688,1.16879,1.1688,4,20,0
2025-09-01 00:52:00,1.16879,1.1688,1.16879,1.1688,4,20,0
2025-09-01 00:53:00,1.1688,1.1688,1.16879,1.16879,6,20,0
2025-09-01 00:54:00,1.1688,1.1688,1.16876,1.16879,4,20,0
2025-09-01 00:55:00,1.16879,1.1688,1.16879,1.16879,7,20,0
2025-09-01 00:56:00,1.16879,1.16879,1.16879,1.16879,1,20,0
2025-09-01 00:57:00,1.16883,1.16885,1.1687400000000001,1.16877,30,20,0
2025-09-01 00:58:00,1.16876,1.1688,1.1687400000000001,1.16875,33,20,0
2025-09-01 00:59:00,1.16876,1.16876,1.1687400000000001,1.16875,8,20,0
2025-09-01 01:00:00,1.16873,1.1689,1.1686,1.1689,49,0,0
2025-09-01 01:01:00,1.1689,1.16903,1.16881,1.1689,23,0,0
2025-09-01 01:02:00,1.1689,1.16895,1.16886,1.16894,20,0,0
2025-09-01 01:03:00,1.16894,1.16903,1.16894,1.16896,13,0,0
2025-09-01 01:04:00,1.16897,1.16897,1.16879,1.16882,12,0,0
2025-09-01 01:05:00,1.16872,1.16876,1.1687,1.16873,19,0,0
2025-09-01 01:06:00,1.1687400000000001,1.16883,1.16871,1.16881,20,0,0
2025-09-01 01:07:00,1.1688,1.1688,1.16868,1.16869,27,0,0
2025-09-01 01:08:00,1.16869,1.16885,1.16869,1.16883,15,0,0
2025-09-01 01:09:00,1.16883,1.1688399999999999,1.16868,1.16871,20,0,0
2025-09-01 01:10:00,1.16872,1.16877,1.16869,1.16873,26,0,0
2025-09-01 01:11:00,1.16872,1.16885,1.16872,1.1688399999999999,11,0,0
2025-09-01 01:12:00,1.1688399999999999,1.16885,1.16878,1.16878,9,0,0
2025-09-01 01:13:00,1.16882,1.16894,1.16882,1.16894,11,0,0
2025-09-01 01:14:00,1.16894,1.16902,1.16887,1.16889,29,0,0
2025-09-01 01:15:00,1.1689,1.16891,1.16887,1.16888,26,0,0
2025-09-01 01:16:00,1.16888,1.16889,1.16887,1.16887,15,0,0
2025-09-01 01:17:00,1.16888,1.16888,1.16882,1.16882,12,0,0
2025-09-01 01:18:00,1.16882,1.16886,1.16882,1.16886,15,0,0
2025-09-01 01:19:00,1.16886,1.16886,1.16878,1.16878,33,0,0
2025-09-01 01:20:00,1.16875,1.16891,1.16875,1.16888,13,0,0
2025-09-01 01:21:00,1.16888,1.16894,1.16885,1.16889,35,0,0
2025-09-01 01:22:00,1.16891,1.16894,1.1689,1.16892,8,0,0
2025-09-01 01:23:00,1.16892,1.16893,1.16892,1.16892,3,0,0
2025-09-01 01:24:00,1.16892,1.16899,1.16892,1.16897,14,0,0
2025-09-01 01:25:00,1.16899,1.16899,1.16885,1.16886,29,0,0
2025-09-01 01:26:00,1.16887,1.16896,1.16886,1.16895,16,0,0
2025-09-01 01:27:00,1.16895,1.16896,1.16889,1.16891,13,0,0
2025-09-01 01:28:00,1.1689,1.16891,1.16883,1.16885,33,0,0
2025-09-01 01:29:00,1.16886,1.16889,1.16883,1.16885,24,0,0
2025-09-01 01:30:00,1.1688399999999999,1.16887,1.16881,1.16886,17,0,0
2025-09-01 01:31:00,1.1688399999999999,1.16891,1.1688399999999999,1.16889,17,0,0
2025-09-01 01:32:00,1.16889,1.16895,1.16889,1.16894,19,0,0
2025-09-01 01:33:00,1.16894,1.16899,1.16894,1.16897,18,0,0
2025-09-01 01:34:00,1.16895,1.16898,1.16892,1.16897,13,0,0
2025-09-01 01:35:00,1.16896,1.169,1.16896,1.169,7,0,0
2025-09-01 01:36:00,1.16899,1.169,1.16899,1.169,4,0,0
2025-09-01 01:37:00,1.169,1.16905,1.16897,1.16898,23,0,0
2025-09-01 01:38:00,1.16899,1.16905,1.16894,1.16904,27,0,0
2025-09-01 01:39:00,1.16904,1.16905,1.16904,1.16904,5,0,0
2025-09-01 01:40:00,1.16904,1.16904,1.16899,1.16899,6,0,0
2025-09-01 01:41:00,1.16898,1.16907,1.16898,1.16907,16,0,0
2025-09-01 01:42:00,1.16906,1.16907,1.16898,1.16903,20,0,0
2025-09-01 01:43:00,1.16903,1.16904,1.16902,1.16904,4,0,0
2025-09-01 01:44:00,1.16904,1.16905,1.16899,1.16901,15,0,0
2025-09-01 01:45:00,1.16902,1.16904,1.16898,1.16898,25,0,0
2025-09-01 01:46:00,1.16899,1.169,1.16899,1.16899,7,0,0
2025-09-01 01:47:00,1.169,1.16903,1.16898,1.16901,15,0,0
2025-09-01 01:48:00,1.16901,1.16905,1.16901,1.16902,11,0,0
2025-09-01 01:49:00,1.16902,1.16902,1.1689,1.16894,18,0,0
2025-09-01 01:50:00,1.16894,1.16895,1.16894,1.16894,3,0,0
2025-09-01 01:51:00,1.16894,1.16902,1.16891,1.16892,13,0,0
2025-09-01 01:52:00,1.1689,1.16898,1.1688399999999999,1.16898,15,0,0
2025-09-01 01:53:00,1.16898,1.16899,1.16896,1.16898,9,0,0
2025-09-01 01:54:00,1.16898,1.16899,1.16887,1.16887,14,0,0
2025-09-01 01:55:00,1.16888,1.16888,1.16879,1.16881,15,0,0
2025-09-01 01:56:00,1.16881,1.16883,1.16879,1.16879,10,0,0
2025-09-01 01:57:00,1.16877,1.16879,1.1687,1.16877,28,0,0
2025-09-01 01:58:00,1.16875,1.16877,1.16875,1.16877,12,0,0
2025-09-01 01:59:00,1.16877,1.16888,1.1687400000000001,1.16887,19,0,0
2025-09-01 02:00:00,1.16888,1.16888,1.16881,1.16881,16,0,0
2025-09-01 02:01:00,1.16881,1.16888,1.1688,1.16888,18,0,0
2025-09-01 02:02:00,1.1689,1.1689,1.16881,1.16881,17,0,0
2025-09-01 02:03:00,1.16881,1.16887,1.16881,1.16887,16,0,0
2025-09-01 02:04:00,1.16886,1.16902,1.16886,1.169,19,0,0
2025-09-01 02:05:00,1.16901,1.16903,1.16894,1.16895,7,0,0
2025-09-01 02:06:00,1.16895,1.16896,1.16887,1.16887,8,0,0
2025-09-01 02:07:00,1.16887,1.16887,1.16879,1.16881,16,0,0
2025-09-01 02:08:00,1.1688,1.16881,1.16873,1.16873,9,0,0
2025-09-01 02:09:00,1.16873,1.16876,1.16869,1.16876,22,0,0
2025-09-01 02:10:00,1.16876,1.16881,1.16875,1.16879,11,0,0
2025-09-01 02:11:00,1.1688,1.1688,1.16879,1.1688,3,0,0
2025-09-01 02:12:00,1.16885,1.16887,1.1688399999999999,1.16886,11,0,0
2025-09-01 02:13:00,1.16886,1.16886,1.1688399999999999,1.16885,4,0,0
2025-09-01 02:14:00,1.16885,1.16887,1.16883,1.16885,7,0,0
2025-09-01 02:15:00,1.16885,1.16885,1.16882,1.16885,4,0,0
2025-09-01 02:16:00,1.16883,1.16887,1.16883,1.16883,6,0,0
2025-09-01 02:17:00,1.16882,1.16887,1.16879,1.16885,12,0,0
2025-09-01 02:18:00,1.16886,1.1689,1.16882,1.1688399999999999,12,0,0
2025-09-01 02:19:00,1.1688399999999999,1.1688399999999999,1.16879,1.16879,7,0,0
2025-09-01 02:20:00,1.16879,1.16885,1.16879,1.1688399999999999,9,0,0
2025-09-01 02:21:00,1.1688399999999999,1.16891,1.1688399999999999,1.16891,8,0,0
2025-09-01 02:22:00,1.16891,1.16901,1.16891,1.16897,15,0,0
2025-09-01 02:23:00,1.16897,1.16902,1.16895,1.16902,17,0,0
2025-09-01 02:24:00,1.169,1.169,1.16894,1.16894,4,0,0
2025-09-01 02:25:00,1.16894,1.16895,1.16886,1.1689,13,0,0
2025-09-01 02:26:00,1.16889,1.1689,1.16889,1.16889,3,0,0
2025-09-01 02:27:00,1.1689,1.1689,1.16873,1.16888,38,0,0
2025-09-01 02:28:00,1.16886,1.16892,1.16885,1.1689,18,0,0
2025-09-01 02:29:00,1.1689,1.16891,1.16878,1.16878,13,0,0
2025-09-01 02:30:00,1.1687400000000001,1.16886,1.1687400000000001,1.16885,13,0,0
2025-09-01 02:31:00,1.16886,1.1689,1.1688399999999999,1.16885,10,0,0
2025-09-01 02:32:00,1.16887,1.16889,1.16885,1.16887,10,0,0
2025-09-01 02:33:00,1.16888,1.169,1.16887,1.16899,15,0,0
2025-09-01 02:34:00,1.169,1.16901,1.16898,1.169,4,0,0
2025-09-01 02:35:00,1.169,1.169,1.16889,1.16894,11,0,0
2025-09-01 02:36:00,1.16894,1.16895,1.16888,1.16891,12,0,0
2025-09-01 02:37:00,1.16891,1.16891,1.16889,1.16891,3,0,0
2025-09-01 02:38:00,1.16895,1.16895,1.16889,1.16895,14,0,0
2025-09-01 02:39:00,1.16895,1.16899,1.16895,1.16898,9,0,0
2025-09-01 02:40:00,1.16898,1.16901,1.16895,1.16897,14,0,0
2025-09-01 02:41:00,1.16894,1.16896,1.16892,1.16894,10,0,0
2025-09-01 02:42:00,1.16894,1.16896,1.16894,1.16895,6,0,0
2025-09-01 02:43:00,1.16895,1.16895,1.16887,1.16888,8,0,0
2025-09-01 02:44:00,1.16888,1.16889,1.16879,1.16885,10,0,0
2025-09-01 02:45:00,1.16885,1.16896,1.16885,1.16894,15,0,0
2025-09-01 02:46:00,1.16893,1.16893,1.1689,1.16891,8,0,0
2025-09-01 02:47:00,1.16891,1.16892,1.16883,1.1688399999999999,10,0,0
2025-09-01 02:48:00,1.1688399999999999,1.1689,1.16881,1.16889,9,0,0
2025-09-01 02:49:00,1.16889,1.16891,1.16879,1.16879,14,0,0
2025-09-01 02:50:00,1.16879,1.16881,1.16876,1.16879,23,0,0
2025-09-01 02:51:00,1.16879,1.16887,1.16879,1.16886,29,0,0
2025-09-01 02:52:00,1.16888,1.16896,1.16888,1.16896,16,0,0
2025-09-01 02:53:00,1.16896,1.16899,1.16894,1.16894,11,0,0
2025-09-01 02:54:00,1.16894,1.16901,1.16894,1.16898,11,0,0
2025-09-01 02:55:00,1.16897,1.169,1.16894,1.16896,22,0,0
2025-09-01 02:56:00,1.16896,1.16898,1.16893,1.16898,22,0,0
2025-09-01 02:57:00,1.16898,1.16904,1.16897,1.16901,27,0,0
2025-09-01 02:58:00,1.16901,1.16906,1.16898,1.16903,29,0,0
2025-09-01 02:59:00,1.16903,1.16905,1.16901,1.16903,26,0,0
2025-09-01 03:00:00,1.16903,1.16906,1.16898,1.16901,48,0,0
2025-09-01 03:01:00,1.16901,1.16915,1.169,1.16911,38,0,0
2025-09-01 03:02:00,1.16911,1.16912,1.16903,1.1691,45,0,0
2025-09-01 03:03:00,1.16909,1.16917,1.16909,1.16916,38,0,0
2025-09-01 03:04:00,1.16916,1.1691799999999999,1.16914,1.1691799999999999,30,0,0
2025-09-01 03:05:00,1.1691799999999999,1.16919,1.16914,1.16919,36,0,0
2025-09-01 03:06:00,1.16919,1.16932,1.16919,1.16932,33,0,0
2025-09-01 03:07:00,1.16931,1.16934,1.16926,1.16929,17,0,0
2025-09-01 03:08:00,1.1693,1.16936,1.16925,1.16925,27,0,0
2025-09-01 03:09:00,1.16925,1.16934,1.16924,1.16932,33,0,0
2025-09-01 03:10:00,1.16933,1.16937,1.16925,1.1693,24,0,0
2025-09-01 03:11:00,1.1693,1.1693500000000001,1.16929,1.16931,13,0,0
2025-09-01 03:12:00,1.1693,1.16938,1.1693,1.16938,36,0,0
2025-09-01 03:13:00,1.16938,1.16944,1.16938,1.16943,17,0,0
2025-09-01 03:14:00,1.16943,1.1694499999999999,1.16937,1.16941,31,0,0
2025-09-01 03:15:00,1.16941,1.16947,1.16939,1.16942,38,0,0
2025-09-01 03:16:00,1.16942,1.16944,1.16941,1.16944,17,0,0
2025-09-01 03:17:00,1.16944,1.16944,1.16941,1.16942,17,0,0
2025-09-01 03:18:00,1.16941,1.1695,1.16941,1.16943,29,0,0
2025-09-01 03:19:00,1.16944,1.16949,1.16942,1.1694499999999999,26,0,0
2025-09-01 03:20:00,1.16946,1.16947,1.16932,1.16937,26,0,0
2025-09-01 03:21:00,1.16937,1.16937,1.16929,1.16933,33,0,0
2025-09-01 03:22:00,1.16933,1.16934,1.16931,1.16931,17,0,0
2025-09-01 03:23:00,1.16931,1.1693500000000001,1.16929,1.16934,24,0,0
2025-09-01 03:24:00,1.16934,1.16938,1.16932,1.16937,38,0,0
2025-09-01 03:25:00,1.16937,1.16937,1.1693,1.16932,23,0,0
2025-09-01 03:26:00,1.16931,1.16934,1.16928,1.16931,30,0,0
2025-09-01 03:27:00,1.16931,1.16931,1.16927,1.16929,18,0,0
2025-09-01 03:28:00,1.16929,1.16934,1.16928,1.16933,15,0,0
2025-09-01 03:29:00,1.16934,1.16936,1.16926,1.1693500000000001,36,0,0
2025-09-01 03:30:00,1.1693500000000001,1.16947,1.1693500000000001,1.16938,31,0,0
2025-09-01 03:31:00,1.16939,1.16943,1.1693500000000001,1.16943,23,0,0
2025-09-01 03:32:00,1.16947,1.16953,1.16947,1.16951,13,0,0
2025-09-01 03:33:00,1.1695,1.16956,1.1695,1.16956,24,0,0
2025-09-01 03:34:00,1.16956,1.16961,1.16952,1.16959,28,0,0
2025-09-01 03:35:00,1.16959,1.16973,1.16959,1.16972,36,0,0
2025-09-01 03:36:00,1.16971,1.16972,1.16966,1.1697,29,0,0
2025-09-01 03:37:00,1.1697,1.16976,1.1696900000000001,1.16971,16,0,0
2025-09-01 03:38:00,1.16971,1.16978,1.1697,1.16976,28,0,0
2025-09-01 03:39:00,1.16976,1.1697899999999999,1.16972,1.16978,18,0,0
2025-09-01 03:40:00,1.16978,1.1697899999999999,1.16965,1.16968,11,0,0
2025-09-01 03:41:00,1.16966,1.16966,1.16958,1.16959,20,0,0
2025-09-01 03:42:00,1.16958,1.16962,1.16956,1.1696,27,0,0
2025-09-01 03:43:00,1.1696,1.16961,1.16958,1.1696,10,0,0
2025-09-01 03:44:00,1.16966,1.1696900000000001,1.16964,1.16964,29,0,0
2025-09-01 03:45:00,1.16964,1.16968,1.16964,1.16967,33,0,0
2025-09-01 03:46:00,1.16967,1.1697,1.16966,1.1696900000000001,27,0,0
2025-09-01 03:47:00,1.1696900000000001,1.16978,1.1696900000000001,1.16974,24,0,0
2025-09-01 03:48:00,1.16974,1.16977,1.16972,1.16973,22,0,0
2025-09-01 03:49:00,1.16974,1.1698,1.16971,1.16978,32,0,0
2025-09-01 03:50:00,1.16978,1.1697899999999999,1.16971,1.1697899999999999,16,0,0
2025-09-01 03:51:00,1.1698,1.1698,1.16974,1.16974,25,0,0
2025-09-01 03:52:00,1.16974,1.16974,1.16965,1.16967,27,0,0
2025-09-01 03:53:00,1.16967,1.16974,1.16967,1.16968,24,0,0
2025-09-01 03:54:00,1.1697,1.16971,1.16962,1.16965,58,0,0
2025-09-01 03:55:00,1.16965,1.16968,1.16958,1.16966,33,0,0
2025-09-01 03:56:00,1.16965,1.16976,1.16965,1.16973,17,0,0
2025-09-01 03:57:00,1.16974,1.16974,1.16967,1.1697,10,0,0
2025-09-01 03:58:00,1.1697,1.16976,1.1697,1.16976,8,0,0
2025-09-01 03:59:00,1.16976,1.16977,1.16973,1.16973,14,0,0
2025-09-01 04:00:00,1.16973,1.16975,1.16967,1.16973,36,0,0
2025-09-01 04:01:00,1.16972,1.16972,1.16967,1.16968,15,0,0
2025-09-01 04:02:00,1.16968,1.16971,1.16965,1.1697,26,0,0
2025-09-01 04:03:00,1.1697,1.16971,1.16966,1.1696900000000001,15,0,0
2025-09-01 04:04:00,1.16968,1.1696900000000001,1.16959,1.1696900000000001,46,0,0
2025-09-01 04:05:00,1.1696900000000001,1.1696900000000001,1.1695,1.16951,33,0,0
2025-09-01 04:06:00,1.16951,1.16951,1.16938,1.1694,45,0,0
2025-09-01 04:07:00,1.1694,1.16941,1.16925,1.1693,45,0,0
2025-09-01 04:08:00,1.1693,1.16939,1.1693,1.16937,31,0,0
2025-09-01 04:09:00,1.16938,1.16941,1.1693500000000001,1.16938,21,0,0
2025-09-01 04:10:00,1.16938,1.16939,1.16927,1.16929,21,0,0
2025-09-01 04:11:00,1.16928,1.16929,1.16914,1.1692,31,0,0
2025-09-01 04:12:00,1.16921,1.16926,1.16921,1.16923,20,0,0
2025-09-01 04:13:00,1.16923,1.16923,1.16916,1.16917,29,0,0
2025-09-01 04:14:00,1.1691799999999999,1.16929,1.16905,1.16927,49,0,0
2025-09-01 04:15:00,1.16927,1.1693,1.16897,1.16903,70,0,0
2025-09-01 04:16:00,1.16904,1.16906,1.169,1.16903,37,0,0
2025-09-01 04:17:00,1.16903,1.1691799999999999,1.16903,1.1691799999999999,19,0,0
2025-09-01 04:18:00,1.16919,1.16926,1.16916,1.16916,31,0,0
2025-09-01 04:19:00,1.16916,1.16928,1.16913,1.1692,35,0,0
2025-09-01 04:20:00,1.16915,1.16915,1.16902,1.16903,32,0,0
2025-09-01 04:21:00,1.16903,1.16905,1.16895,1.169,33,0,0
2025-09-01 04:22:00,1.169,1.16902,1.16895,1.16901,22,0,0
2025-09-01 04:23:00,1.16901,1.16901,1.16893,1.16895,34,0,0
2025-09-01 04:24:00,1.16895,1.1691,1.16892,1.16909,41,0,0
2025-09-01 04:25:00,1.16909,1.1691,1.16904,1.16906,14,0,0
2025-09-01 04:26:00,1.16907,1.16913,1.16898,1.16912,43,0,0
2025-09-01 04:27:00,1.16913,1.16915,1.16909,1.1691,34,0,0
2025-09-01 04:28:00,1.16912,1.16914,1.1690800000000001,1.16913,38,0,0
2025-09-01 04:29:00,1.16914,1.16914,1.16903,1.16905,33,0,0
2025-09-01 04:30:00,1.16899,1.169,1.16888,1.1689,74,0,0
2025-09-01 04:31:00,1.16889,1.16895,1.16886,1.16888,52,0,0
2025-09-01 04:32:00,1.16889,1.16899,1.16881,1.16898,42,0,0
2025-09-01 04:33:00,1.16899,1.16899,1.16885,1.16887,40,0,0
2025-09-01 04:34:00,1.16888,1.16904,1.16888,1.16898,35,0,0
2025-09-01 04:35:00,1.16898,1.16901,1.1689,1.16897,24,0,0
2025-09-01 04:36:00,1.16897,1.16897,1.1688,1.16883,53,0,0
2025-09-01 04:37:00,1.16883,1.16889,1.16881,1.16886,28,0,0
